pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
167.3262,-107.851925,-90.0,top,L3,,,L_Wurth_WE-LQSH-4020,1.5uH,smt
136.729085,-73.995419,0.0,top,MCM93_MOD1,,,LGA-140-080-30x30-iMX93,MCM93_MOD,tht
169.8,-63.6,90.0,top,ON/OFF1,,None,SSSS810701,SSSS810701,smt
150.3062,-96.053097,-90.0,top,R1,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1Mega Ohm,smt
154.7562,-121.850753,180.0,top,R10,,,R_0805_2012Metric,1 MΩ,smt
159.0262,-104.5563,90.0,top,R11,,,R_0805_2012Metric,51 kΩ,smt
128.0262,-135.175441,90.0,top,R12,,,R_0805_2012Metric,10 kΩ,smt
168.95,-118.95,0.0,top,R13,,,R_0805_2012Metric,1kΩ,smt
146.2562,-148.454269,0.0,top,R2,,,R_0805_2012Metric,5.1 kΩ,smt
136.7562,-142.430831,0.0,top,R3,,,R_0805_2012Metric,5.1 kΩ,smt
139.7562,-130.885909,0.0,top,R4,,,R_0805_2012Metric,1.2 kΩ,smt
136.0262,-49.843409,90.0,top,R5,,,R_0805_2012Metric,10 kΩ,smt
164.7562,-59.608566,180.0,top,R6,,,R_0805_2012Metric,10 kΩ,smt
149.0262,-118.109034,90.0,top,R7,,,R_0805_2012Metric,1.1 MΩ,smt
151.2562,-128.376144,180.0,top,R8,,,R_0805_2012Metric,1kΩ,smt
149.7562,-114.321456,180.0,top,R9,,,R_0805_2012Metric,174 kΩ,smt
169.7,-55.45,90.0,top,RESET1,,,SW_Push_1P1T-SH_NO_CK_KMR2xxG,SW_Push,smt
161.2762,-90.131613,-90.0,top,U1,,,SOT-23-5,AP2112K-3.3,smt
129.589436,-140.981691,-90.0,top,U2,,TSSOP-20 Texas Instruments,SOP65P640X120-20N,PCM5102APWR,smt
151.0262,-105.288253,180.0,top,U3,,,VREG_MIC2877-AYFT-TR,~,smt
156.0262,-109.363196,90.0,top,U4,,VSON-14 Texas Instruments,IC_TPS63020DSJR,TPS63020DSJR/3.7V Reg,smt
143.2762,-122.610519,0.0,top,U5,,,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,TP4056-42-ESOP8,smt
110.55,-121.275,90.0,top,U6,,None,XCVR_LBEE5KL1YN-814,LBEE5KL1YN-814,smt
169.0,-36.0,0.0,top,VBAT1,,,TestPoint_Pad_D2.5mm,TestPoint,tht
110.0762,-131.023361,0.0,top,Y1,,,Oscillator_SMD_EuroQuartz_XO53-4Pin_5.0x3.2mm,XO53,smt
